,DATA,UF_VENDA,PRINCIPIO_ATIVO,QTD_VENDIDA
0,2022-04-01,AC,AZITROMICINA,108
1,2022-04-01,AC,AZITROMICINA DI-HIDRATADA,421
2,2022-04-01,AC,SULFATO DE HIDROXICLOROQUINA,26
3,2022-04-01,AL,AZITROMICINA,73
4,2022-04-01,AL,AZITROMICINA DI-HIDRATADA,355
5,2022-04-01,AM,AZITROMICINA,132
6,2022-04-01,AM,AZITROMICINA DI-HIDRATADA,697
7,2022-04-01,AM,SULFATO DE HIDROXICLOROQUINA,25
8,2022-04-01,AP,AZITROMICINA,108
9,2022-04-01,AP,AZITROMICINA DI-HIDRATADA,217
10,2022-04-01,BA,AZITROMICINA,641
11,2022-04-01,BA,AZITROMICINA DI-HIDRATADA,1835
12,2022-04-01,BA,SULFATO DE HIDROXICLOROQUINA,20
13,2022-04-01,CE,AZITROMICINA,192
14,2022-04-01,CE,AZITROMICINA DI-HIDRATADA,1404
15,2022-04-01,CE,SULFATO DE HIDROXICLOROQUINA,28
16,2022-04-01,DF,AZITROMICINA,134
17,2022-04-01,DF,AZITROMICINA DI-HIDRATADA,472
18,2022-04-01,DF,SULFATO DE HIDROXICLOROQUINA,3
19,2022-04-01,ES,AZITROMICINA,199
20,2022-04-01,ES,AZITROMICINA DI-HIDRATADA,1330
21,2022-04-01,ES,SULFATO DE HIDROXICLOROQUINA,15
22,2022-04-01,GO,AZITROMICINA,606
23,2022-04-01,GO,AZITROMICINA DI-HIDRATADA,1982
24,2022-04-01,GO,IVERMECTINA,1
25,2022-04-01,GO,SULFATO DE HIDROXICLOROQUINA,20
26,2022-04-01,MA,AZITROMICINA,155
27,2022-04-01,MA,AZITROMICINA DI-HIDRATADA,598
28,2022-04-01,MA,SULFATO DE HIDROXICLOROQUINA,1
29,2022-04-01,MG,AZITROMICINA,790
30,2022-04-01,MG,AZITROMICINA DI-HIDRATADA,5884
31,2022-04-01,MG,SULFATO DE HIDROXICLOROQUINA,76
32,2022-04-01,MS,AZITROMICINA,360
33,2022-04-01,MS,AZITROMICINA DI-HIDRATADA,481
34,2022-04-01,MS,SULFATO DE HIDROXICLOROQUINA,16
35,2022-04-01,MT,AZITROMICINA,475
36,2022-04-01,MT,AZITROMICINA DI-HIDRATADA,1423
37,2022-04-01,MT,SULFATO DE HIDROXICLOROQUINA,1
38,2022-04-01,PA,AZITROMICINA,206
39,2022-04-01,PA,AZITROMICINA DI-HIDRATADA,1115
40,2022-04-01,PA,SULFATO DE HIDROXICLOROQUINA,13
41,2022-04-01,PB,AZITROMICINA,378
42,2022-04-01,PB,AZITROMICINA DI-HIDRATADA,988
43,2022-04-01,PB,SULFATO DE HIDROXICLOROQUINA,8
44,2022-04-01,PE,AZITROMICINA,191
45,2022-04-01,PE,AZITROMICINA DI-HIDRATADA,924
46,2022-04-01,PE,IVERMECTINA,1
47,2022-04-01,PE,SULFATO DE HIDROXICLOROQUINA,15
48,2022-04-01,PI,AZITROMICINA,40
49,2022-04-01,PI,AZITROMICINA DI-HIDRATADA,261
50,2022-04-01,PI,SULFATO DE HIDROXICLOROQUINA,7
51,2022-04-01,PR,AZITROMICINA,802
52,2022-04-01,PR,AZITROMICINA DI-HIDRATADA,3481
53,2022-04-01,PR,SULFATO DE HIDROXICLOROQUINA,48
54,2022-04-01,RJ,AZITROMICINA,1496
55,2022-04-01,RJ,AZITROMICINA DI-HIDRATADA,5371
56,2022-04-01,RJ,SULFATO DE HIDROXICLOROQUINA,136
57,2022-04-01,RN,AZITROMICINA,135
58,2022-04-01,RN,AZITROMICINA DI-HIDRATADA,1227
59,2022-04-01,RN,SULFATO DE HIDROXICLOROQUINA,10
60,2022-04-01,RO,AZITROMICINA,278
61,2022-04-01,RO,AZITROMICINA DI-HIDRATADA,1731
62,2022-04-01,RO,SULFATO DE HIDROXICLOROQUINA,2
63,2022-04-01,RR,AZITROMICINA,89
64,2022-04-01,RR,AZITROMICINA DI-HIDRATADA,171
65,2022-04-01,RR,SULFATO DE HIDROXICLOROQUINA,6
66,2022-04-01,RS,AZITROMICINA,681
67,2022-04-01,RS,AZITROMICINA DI-HIDRATADA,3236
68,2022-04-01,RS,SULFATO DE HIDROXICLOROQUINA,75
69,2022-04-01,SC,AZITROMICINA,199
70,2022-04-01,SC,AZITROMICINA DI-HIDRATADA,1062
71,2022-04-01,SC,SULFATO DE HIDROXICLOROQUINA,22
72,2022-04-01,SE,AZITROMICINA,90
73,2022-04-01,SE,AZITROMICINA DI-HIDRATADA,558
74,2022-04-01,SE,SULFATO DE HIDROXICLOROQUINA,6
75,2022-04-01,SP,AZITROMICINA,3608
76,2022-04-01,SP,AZITROMICINA DI-HIDRATADA,14443
77,2022-04-01,SP,SULFATO DE HIDROXICLOROQUINA,252
78,2022-04-01,TO,AZITROMICINA,182
79,2022-04-01,TO,AZITROMICINA DI-HIDRATADA,685
80,2022-04-01,TO,SULFATO DE HIDROXICLOROQUINA,9
