,DATA,UF_VENDA,PRINCIPIO_ATIVO,QTD_VENDIDA
0,2021-08-01,AC,AZITROMICINA,236
1,2021-08-01,AC,AZITROMICINA DI-HIDRATADA,1292
2,2021-08-01,AC,SULFATO DE HIDROXICLOROQUINA,156
3,2021-08-01,AL,AZITROMICINA,873
4,2021-08-01,AL,AZITROMICINA DI-HIDRATADA,4897
5,2021-08-01,AL,SULFATO DE HIDROXICLOROQUINA,484
6,2021-08-01,AM,AZITROMICINA,615
7,2021-08-01,AM,AZITROMICINA DI-HIDRATADA,3862
8,2021-08-01,AM,SULFATO DE HIDROXICLOROQUINA,237
9,2021-08-01,AP,AZITROMICINA,463
10,2021-08-01,AP,AZITROMICINA DI-HIDRATADA,1891
11,2021-08-01,AP,SULFATO DE HIDROXICLOROQUINA,185
12,2021-08-01,BA,AZITROMICINA,4772
13,2021-08-01,BA,AZITROMICINA DI-HIDRATADA,29391
14,2021-08-01,BA,IVERMECTINA,100
15,2021-08-01,BA,SULFATO DE HIDROXICLOROQUINA,2305
16,2021-08-01,CE,AZITROMICINA,2598
17,2021-08-01,CE,AZITROMICINA DI-HIDRATADA,11854
18,2021-08-01,CE,SULFATO DE HIDROXICLOROQUINA,1247
19,2021-08-01,DF,AZITROMICINA,1944
20,2021-08-01,DF,AZITROMICINA DI-HIDRATADA,15276
21,2021-08-01,DF,SULFATO DE HIDROXICLOROQUINA,2216
22,2021-08-01,ES,AZITROMICINA,1864
23,2021-08-01,ES,AZITROMICINA DI-HIDRATADA,20563
24,2021-08-01,ES,IVERMECTINA,12
25,2021-08-01,ES,SULFATO DE HIDROXICLOROQUINA,1546
26,2021-08-01,GO,AZITROMICINA,10429
27,2021-08-01,GO,AZITROMICINA DI-HIDRATADA,44752
28,2021-08-01,GO,IVERMECTINA,36
29,2021-08-01,GO,SULFATO DE HIDROXICLOROQUINA,3484
30,2021-08-01,MA,AZITROMICINA,1529
31,2021-08-01,MA,AZITROMICINA DI-HIDRATADA,10352
32,2021-08-01,MA,IVERMECTINA,18
33,2021-08-01,MA,SULFATO DE HIDROXICLOROQUINA,552
34,2021-08-01,MG,AZITROMICINA,16019
35,2021-08-01,MG,AZITROMICINA DI-HIDRATADA,124136
36,2021-08-01,MG,IVERMECTINA,46
37,2021-08-01,MG,SULFATO DE HIDROXICLOROQUINA,8938
38,2021-08-01,MS,AZITROMICINA,3086
39,2021-08-01,MS,AZITROMICINA DI-HIDRATADA,10203
40,2021-08-01,MS,IVERMECTINA,3
41,2021-08-01,MS,SULFATO DE HIDROXICLOROQUINA,1285
42,2021-08-01,MT,AZITROMICINA,2651
43,2021-08-01,MT,AZITROMICINA DI-HIDRATADA,14649
44,2021-08-01,MT,SULFATO DE HIDROXICLOROQUINA,676
45,2021-08-01,PA,AZITROMICINA,1637
46,2021-08-01,PA,AZITROMICINA DI-HIDRATADA,14513
47,2021-08-01,PA,IVERMECTINA,3
48,2021-08-01,PA,SULFATO DE HIDROXICLOROQUINA,1070
49,2021-08-01,PB,AZITROMICINA,2902
50,2021-08-01,PB,AZITROMICINA DI-HIDRATADA,14838
51,2021-08-01,PB,SULFATO DE HIDROXICLOROQUINA,1596
52,2021-08-01,PE,AZITROMICINA,2911
53,2021-08-01,PE,AZITROMICINA DI-HIDRATADA,14523
54,2021-08-01,PE,IVERMECTINA,2
55,2021-08-01,PE,SULFATO DE HIDROXICLOROQUINA,2553
56,2021-08-01,PI,AZITROMICINA,578
57,2021-08-01,PI,AZITROMICINA DI-HIDRATADA,4392
58,2021-08-01,PI,IVERMECTINA,12
59,2021-08-01,PI,SULFATO DE HIDROXICLOROQUINA,598
60,2021-08-01,PR,AZITROMICINA,10164
61,2021-08-01,PR,AZITROMICINA DI-HIDRATADA,60976
62,2021-08-01,PR,IVERMECTINA,4
63,2021-08-01,PR,SULFATO DE HIDROXICLOROQUINA,6550
64,2021-08-01,RJ,AZITROMICINA,12660
65,2021-08-01,RJ,AZITROMICINA DI-HIDRATADA,81599
66,2021-08-01,RJ,SULFATO DE HIDROXICLOROQUINA,6816
67,2021-08-01,RN,AZITROMICINA,2624
68,2021-08-01,RN,AZITROMICINA DI-HIDRATADA,14047
69,2021-08-01,RN,SULFATO DE HIDROXICLOROQUINA,1043
