,DATA,UF_VENDA,PRINCIPIO_ATIVO,QTD_VENDIDA
0,2021-12-01,AC,AZITROMICINA,123
1,2021-12-01,AC,AZITROMICINA DI-HIDRATADA,1641
2,2021-12-01,AC,SULFATO DE HIDROXICLOROQUINA,51
3,2021-12-01,AL,AZITROMICINA,192
4,2021-12-01,AL,AZITROMICINA DI-HIDRATADA,689
5,2021-12-01,AL,SULFATO DE HIDROXICLOROQUINA,4
6,2021-12-01,AM,AZITROMICINA,360
7,2021-12-01,AM,AZITROMICINA DI-HIDRATADA,2584
8,2021-12-01,AM,SULFATO DE HIDROXICLOROQUINA,30
9,2021-12-01,AP,AZITROMICINA,96
10,2021-12-01,AP,AZITROMICINA DI-HIDRATADA,626
11,2021-12-01,BA,AZITROMICINA,1213
12,2021-12-01,BA,AZITROMICINA DI-HIDRATADA,5643
13,2021-12-01,BA,IVERMECTINA,4
14,2021-12-01,BA,SULFATO DE HIDROXICLOROQUINA,56
15,2021-12-01,CE,AZITROMICINA,508
16,2021-12-01,CE,AZITROMICINA DI-HIDRATADA,1877
17,2021-12-01,CE,SULFATO DE HIDROXICLOROQUINA,48
18,2021-12-01,DF,AZITROMICINA,326
19,2021-12-01,DF,AZITROMICINA DI-HIDRATADA,1029
20,2021-12-01,DF,SULFATO DE HIDROXICLOROQUINA,60
21,2021-12-01,ES,AZITROMICINA,490
22,2021-12-01,ES,AZITROMICINA DI-HIDRATADA,3902
23,2021-12-01,ES,SULFATO DE HIDROXICLOROQUINA,57
24,2021-12-01,GO,AZITROMICINA,1439
25,2021-12-01,GO,AZITROMICINA DI-HIDRATADA,6531
26,2021-12-01,GO,IVERMECTINA,2
27,2021-12-01,GO,SULFATO DE HIDROXICLOROQUINA,102
28,2021-12-01,MA,AZITROMICINA,245
29,2021-12-01,MA,AZITROMICINA DI-HIDRATADA,1844
30,2021-12-01,MA,SULFATO DE HIDROXICLOROQUINA,14
31,2021-12-01,MG,AZITROMICINA,2349
32,2021-12-01,MG,AZITROMICINA DI-HIDRATADA,17797
33,2021-12-01,MG,IVERMECTINA,3
34,2021-12-01,MG,SULFATO DE HIDROXICLOROQUINA,231
35,2021-12-01,MS,AZITROMICINA,437
36,2021-12-01,MS,AZITROMICINA DI-HIDRATADA,1085
37,2021-12-01,MS,SULFATO DE HIDROXICLOROQUINA,37
38,2021-12-01,MT,AZITROMICINA,731
39,2021-12-01,MT,AZITROMICINA DI-HIDRATADA,3221
40,2021-12-01,MT,SULFATO DE HIDROXICLOROQUINA,10
41,2021-12-01,PA,AZITROMICINA,446
42,2021-12-01,PA,AZITROMICINA DI-HIDRATADA,2695
43,2021-12-01,PA,IVERMECTINA,6
44,2021-12-01,PA,SULFATO DE HIDROXICLOROQUINA,37
45,2021-12-01,PB,AZITROMICINA,485
46,2021-12-01,PB,AZITROMICINA DI-HIDRATADA,2088
47,2021-12-01,PB,SULFATO DE HIDROXICLOROQUINA,13
48,2021-12-01,PE,AZITROMICINA,416
49,2021-12-01,PE,AZITROMICINA DI-HIDRATADA,1858
50,2021-12-01,PE,IVERMECTINA,92
51,2021-12-01,PE,SULFATO DE HIDROXICLOROQUINA,39
52,2021-12-01,PI,AZITROMICINA,36
53,2021-12-01,PI,AZITROMICINA DI-HIDRATADA,425
54,2021-12-01,PI,SULFATO DE HIDROXICLOROQUINA,17
55,2021-12-01,PR,AZITROMICINA,835
56,2021-12-01,PR,AZITROMICINA DI-HIDRATADA,5134
57,2021-12-01,PR,SULFATO DE HIDROXICLOROQUINA,98
58,2021-12-01,RJ,AZITROMICINA,4502
59,2021-12-01,RJ,AZITROMICINA DI-HIDRATADA,18512
60,2021-12-01,RJ,SULFATO DE HIDROXICLOROQUINA,370
61,2021-12-01,RN,AZITROMICINA,337
62,2021-12-01,RN,AZITROMICINA DI-HIDRATADA,2815
63,2021-12-01,RN,SULFATO DE HIDROXICLOROQUINA,39
64,2021-12-01,RO,AZITROMICINA,497
65,2021-12-01,RO,AZITROMICINA DI-HIDRATADA,2425
66,2021-12-01,RO,SULFATO DE HIDROXICLOROQUINA,105
67,2021-12-01,RR,AZITROMICINA,270
68,2021-12-01,RR,AZITROMICINA DI-HIDRATADA,823
69,2021-12-01,RR,SULFATO DE HIDROXICLOROQUINA,5
70,2021-12-01,RS,AZITROMICINA,869
71,2021-12-01,RS,AZITROMICINA DI-HIDRATADA,4785
72,2021-12-01,RS,SULFATO DE HIDROXICLOROQUINA,224
73,2021-12-01,SC,AZITROMICINA,361
74,2021-12-01,SC,AZITROMICINA DI-HIDRATADA,2199
75,2021-12-01,SC,IVERMECTINA,6
76,2021-12-01,SC,SULFATO DE HIDROXICLOROQUINA,54
77,2021-12-01,SE,AZITROMICINA,306
78,2021-12-01,SE,AZITROMICINA DI-HIDRATADA,1619
79,2021-12-01,SE,SULFATO DE HIDROXICLOROQUINA,25
80,2021-12-01,SP,AZITROMICINA,7980
81,2021-12-01,SP,AZITROMICINA DI-HIDRATADA,42656
82,2021-12-01,SP,IVERMECTINA,7
83,2021-12-01,SP,SULFATO DE HIDROXICLOROQUINA,530
84,2021-12-01,TO,AZITROMICINA,225
85,2021-12-01,TO,AZITROMICINA DI-HIDRATADA,1139
86,2021-12-01,TO,SULFATO DE HIDROXICLOROQUINA,7
