,DATA,UF_VENDA,PRINCIPIO_ATIVO,QTD_VENDIDA
0,2020-04-01,AC,AZITROMICINA,327
1,2020-04-01,AC,AZITROMICINA DI-HIDRATADA,2290
2,2020-04-01,AC,SULFATO DE HIDROXICLOROQUINA,181
3,2020-04-01,AL,AZITROMICINA,1180
4,2020-04-01,AL,AZITROMICINA DI-HIDRATADA,4788
5,2020-04-01,AL,SULFATO DE HIDROXICLOROQUINA,1033
6,2020-04-01,AM,AZITROMICINA,3192
7,2020-04-01,AM,AZITROMICINA DI-HIDRATADA,18374
8,2020-04-01,AM,SULFATO DE HIDROXICLOROQUINA,1410
9,2020-04-01,AP,AZITROMICINA,837
10,2020-04-01,AP,AZITROMICINA DI-HIDRATADA,4782
11,2020-04-01,AP,SULFATO DE HIDROXICLOROQUINA,387
12,2020-04-01,BA,AZITROMICINA,4726
13,2020-04-01,BA,AZITROMICINA DI-HIDRATADA,123706
14,2020-04-01,BA,IVERMECTINA,1
15,2020-04-01,BA,SULFATO DE HIDROXICLOROQUINA,3243
16,2020-04-01,CE,AZITROMICINA,5928
17,2020-04-01,CE,AZITROMICINA DI-HIDRATADA,20189
18,2020-04-01,CE,SULFATO DE HIDROXICLOROQUINA,6191
19,2020-04-01,DF,AZITROMICINA,1555
20,2020-04-01,DF,AZITROMICINA DI-HIDRATADA,8560
21,2020-04-01,DF,SULFATO DE HIDROXICLOROQUINA,2755
22,2020-04-01,ES,AZITROMICINA,1842
23,2020-04-01,ES,AZITROMICINA DI-HIDRATADA,12886
24,2020-04-01,ES,SULFATO DE HIDROXICLOROQUINA,1563
25,2020-04-01,GO,AZITROMICINA,5665
26,2020-04-01,GO,AZITROMICINA DI-HIDRATADA,24395
27,2020-04-01,GO,SULFATO DE HIDROXICLOROQUINA,2614
28,2020-04-01,MA,AZITROMICINA,3627
29,2020-04-01,MA,AZITROMICINA DI-HIDRATADA,22183
30,2020-04-01,MA,SULFATO DE HIDROXICLOROQUINA,1374
31,2020-04-01,MG,AZITROMICINA,13947
32,2020-04-01,MG,AZITROMICINA DI-HIDRATADA,72256
33,2020-04-01,MG,IVERMECTINA,1
34,2020-04-01,MG,SULFATO DE HIDROXICLOROQUINA,10902
35,2020-04-01,MS,AZITROMICINA,1040
36,2020-04-01,MS,AZITROMICINA DI-HIDRATADA,6831
37,2020-04-01,MS,SULFATO DE HIDROXICLOROQUINA,1495
38,2020-04-01,MT,AZITROMICINA,1857
39,2020-04-01,MT,AZITROMICINA DI-HIDRATADA,8323
40,2020-04-01,MT,SULFATO DE HIDROXICLOROQUINA,764
41,2020-04-01,PA,AZITROMICINA,9109
42,2020-04-01,PA,AZITROMICINA DI-HIDRATADA,68517
43,2020-04-01,PA,SULFATO DE HIDROXICLOROQUINA,3731
44,2020-04-01,PB,AZITROMICINA,3669
45,2020-04-01,PB,AZITROMICINA DI-HIDRATADA,14161
46,2020-04-01,PB,SULFATO DE HIDROXICLOROQUINA,2099
47,2020-04-01,PE,AZITROMICINA,5100
48,2020-04-01,PE,AZITROMICINA DI-HIDRATADA,19544
49,2020-04-01,PE,SULFATO DE HIDROXICLOROQUINA,3199
50,2020-04-01,PI,AZITROMICINA,448
51,2020-04-01,PI,AZITROMICINA DI-HIDRATADA,4011
52,2020-04-01,PI,SULFATO DE HIDROXICLOROQUINA,760
53,2020-04-01,PR,AZITROMICINA,7739
54,2020-04-01,PR,AZITROMICINA DI-HIDRATADA,30465
55,2020-04-01,PR,SULFATO DE HIDROXICLOROQUINA,5276
56,2020-04-01,RJ,AZITROMICINA,10396
57,2020-04-01,RJ,AZITROMICINA DI-HIDRATADA,82646
58,2020-04-01,RJ,SULFATO DE HIDROXICLOROQUINA,14132
59,2020-04-01,RN,AZITROMICINA,2581
60,2020-04-01,RN,AZITROMICINA DI-HIDRATADA,12743
61,2020-04-01,RN,SULFATO DE HIDROXICLOROQUINA,1140
62,2020-04-01,RO,AZITROMICINA,2003
63,2020-04-01,RO,AZITROMICINA DI-HIDRATADA,4950
64,2020-04-01,RO,SULFATO DE HIDROXICLOROQUINA,549
65,2020-04-01,RR,AZITROMICINA,571
66,2020-04-01,RR,AZITROMICINA DI-HIDRATADA,2007
67,2020-04-01,RR,SULFATO DE HIDROXICLOROQUINA,198
68,2020-04-01,RS,AZITROMICINA,10645
69,2020-04-01,RS,AZITROMICINA DI-HIDRATADA,46756
70,2020-04-01,RS,SULFATO DE HIDROXICLOROQUINA,11007
71,2020-04-01,SC,AZITROMICINA,4869
72,2020-04-01,SC,AZITROMICINA DI-HIDRATADA,21767
73,2020-04-01,SC,SULFATO DE HIDROXICLOROQUINA,4238
74,2020-04-01,SE,AZITROMICINA,853
75,2020-04-01,SE,AZITROMICINA DI-HIDRATADA,3658
76,2020-04-01,SE,SULFATO DE HIDROXICLOROQUINA,1145
77,2020-04-01,SP,AZITROMICINA,28618
78,2020-04-01,SP,AZITROMICINA DI-HIDRATADA,183852
79,2020-04-01,SP,IVERMECTINA,7
80,2020-04-01,SP,SULFATO DE HIDROXICLOROQUINA,20878
81,2020-04-01,TO,AZITROMICINA,856
82,2020-04-01,TO,AZITROMICINA DI-HIDRATADA,4109
83,2020-04-01,TO,SULFATO DE HIDROXICLOROQUINA,399
