,DATA,UF_VENDA,PRINCIPIO_ATIVO,QTD_VENDIDA
0,2021-01-01,AC,AZITROMICINA,735
1,2021-01-01,AC,AZITROMICINA DI-HIDRATADA,5065
2,2021-01-01,AC,IVERMECTINA,15
3,2021-01-01,AC,SULFATO DE HIDROXICLOROQUINA,198
4,2021-01-01,AL,AZITROMICINA,1133
5,2021-01-01,AL,AZITROMICINA DI-HIDRATADA,9637
6,2021-01-01,AL,IVERMECTINA,74
7,2021-01-01,AL,SULFATO DE HIDROXICLOROQUINA,990
8,2021-01-01,AM,AZITROMICINA,3981
9,2021-01-01,AM,AZITROMICINA DI-HIDRATADA,27533
10,2021-01-01,AM,IVERMECTINA,12
11,2021-01-01,AM,SULFATO DE HIDROXICLOROQUINA,965
12,2021-01-01,AP,AZITROMICINA,491
13,2021-01-01,AP,AZITROMICINA DI-HIDRATADA,4326
14,2021-01-01,AP,SULFATO DE HIDROXICLOROQUINA,241
15,2021-01-01,BA,AZITROMICINA,9680
16,2021-01-01,BA,AZITROMICINA DI-HIDRATADA,56691
17,2021-01-01,BA,IVERMECTINA,1130
18,2021-01-01,BA,SULFATO DE HIDROXICLOROQUINA,3518
19,2021-01-01,CE,AZITROMICINA,5546
20,2021-01-01,CE,AZITROMICINA DI-HIDRATADA,25107
21,2021-01-01,CE,IVERMECTINA,67
22,2021-01-01,CE,SULFATO DE HIDROXICLOROQUINA,1949
23,2021-01-01,DF,AZITROMICINA,2393
24,2021-01-01,DF,AZITROMICINA DI-HIDRATADA,22711
25,2021-01-01,DF,IVERMECTINA,23
26,2021-01-01,DF,SULFATO DE HIDROXICLOROQUINA,3562
27,2021-01-01,ES,AZITROMICINA,4255
28,2021-01-01,ES,AZITROMICINA DI-HIDRATADA,37325
29,2021-01-01,ES,IVERMECTINA,176
30,2021-01-01,ES,SULFATO DE HIDROXICLOROQUINA,3266
31,2021-01-01,GO,AZITROMICINA,12838
32,2021-01-01,GO,AZITROMICINA DI-HIDRATADA,67730
33,2021-01-01,GO,IVERMECTINA,475
34,2021-01-01,GO,SULFATO DE HIDROXICLOROQUINA,5974
35,2021-01-01,MA,AZITROMICINA,2290
36,2021-01-01,MA,AZITROMICINA DI-HIDRATADA,15638
37,2021-01-01,MA,IVERMECTINA,74
38,2021-01-01,MA,SULFATO DE HIDROXICLOROQUINA,767
39,2021-01-01,MG,AZITROMICINA,59581
40,2021-01-01,MG,AZITROMICINA DI-HIDRATADA,221506
41,2021-01-01,MG,IVERMECTINA,513
42,2021-01-01,MG,SULFATO DE HIDROXICLOROQUINA,16466
43,2021-01-01,MS,AZITROMICINA,6108
44,2021-01-01,MS,AZITROMICINA DI-HIDRATADA,17588
45,2021-01-01,MS,IVERMECTINA,10
46,2021-01-01,MS,SULFATO DE HIDROXICLOROQUINA,2588
47,2021-01-01,MT,AZITROMICINA,2943
48,2021-01-01,MT,AZITROMICINA DI-HIDRATADA,25949
49,2021-01-01,MT,IVERMECTINA,26
50,2021-01-01,MT,SULFATO DE HIDROXICLOROQUINA,2018
51,2021-01-01,PA,AZITROMICINA,5038
52,2021-01-01,PA,AZITROMICINA DI-HIDRATADA,29993
53,2021-01-01,PA,IVERMECTINA,61
54,2021-01-01,PA,SULFATO DE HIDROXICLOROQUINA,1888
55,2021-01-01,PB,AZITROMICINA,4424
56,2021-01-01,PB,AZITROMICINA DI-HIDRATADA,28455
57,2021-01-01,PB,IVERMECTINA,88
58,2021-01-01,PB,SULFATO DE HIDROXICLOROQUINA,1337
59,2021-01-01,PE,AZITROMICINA,5435
60,2021-01-01,PE,AZITROMICINA DI-HIDRATADA,27776
61,2021-01-01,PE,IVERMECTINA,127
62,2021-01-01,PE,SULFATO DE HIDROXICLOROQUINA,2827
63,2021-01-01,PI,AZITROMICINA,699
64,2021-01-01,PI,AZITROMICINA DI-HIDRATADA,9070
65,2021-01-01,PI,IVERMECTINA,51
66,2021-01-01,PI,SULFATO DE HIDROXICLOROQUINA,773
67,2021-01-01,PR,AZITROMICINA,11669
68,2021-01-01,PR,AZITROMICINA DI-HIDRATADA,81330
69,2021-01-01,PR,IVERMECTINA,661
70,2021-01-01,PR,SULFATO DE HIDROXICLOROQUINA,11161
71,2021-01-01,RJ,AZITROMICINA,28508
72,2021-01-01,RJ,AZITROMICINA DI-HIDRATADA,109726
73,2021-01-01,RJ,IVERMECTINA,189
74,2021-01-01,RJ,SULFATO DE HIDROXICLOROQUINA,7833
75,2021-01-01,RN,AZITROMICINA,3767
76,2021-01-01,RN,AZITROMICINA DI-HIDRATADA,28810
77,2021-01-01,RN,IVERMECTINA,18
78,2021-01-01,RN,SULFATO DE HIDROXICLOROQUINA,1411
79,2021-01-01,RO,AZITROMICINA,4336
80,2021-01-01,RO,AZITROMICINA DI-HIDRATADA,27540
81,2021-01-01,RO,IVERMECTINA,89
