,DATA,UF_VENDA,PRINCIPIO_ATIVO,QTD_VENDIDA
0,2021-06-01,AC,AZITROMICINA,317
1,2021-06-01,AC,AZITROMICINA DI-HIDRATADA,2146
2,2021-06-01,AC,SULFATO DE HIDROXICLOROQUINA,178
3,2021-06-01,AL,AZITROMICINA,1734
4,2021-06-01,AL,AZITROMICINA DI-HIDRATADA,8863
5,2021-06-01,AL,SULFATO DE HIDROXICLOROQUINA,727
6,2021-06-01,AM,AZITROMICINA,638
7,2021-06-01,AM,AZITROMICINA DI-HIDRATADA,3233
8,2021-06-01,AM,SULFATO DE HIDROXICLOROQUINA,243
9,2021-06-01,AP,AZITROMICINA,494
10,2021-06-01,AP,AZITROMICINA DI-HIDRATADA,3060
11,2021-06-01,AP,SULFATO DE HIDROXICLOROQUINA,176
12,2021-06-01,BA,AZITROMICINA,8727
13,2021-06-01,BA,AZITROMICINA DI-HIDRATADA,49776
14,2021-06-01,BA,IVERMECTINA,203
15,2021-06-01,BA,SULFATO DE HIDROXICLOROQUINA,3019
16,2021-06-01,CE,AZITROMICINA,3600
17,2021-06-01,CE,AZITROMICINA DI-HIDRATADA,16308
18,2021-06-01,CE,IVERMECTINA,17
19,2021-06-01,CE,SULFATO DE HIDROXICLOROQUINA,1493
20,2021-06-01,DF,AZITROMICINA,2005
21,2021-06-01,DF,AZITROMICINA DI-HIDRATADA,15590
22,2021-06-01,DF,IVERMECTINA,2
23,2021-06-01,DF,SULFATO DE HIDROXICLOROQUINA,2834
24,2021-06-01,ES,AZITROMICINA,2326
25,2021-06-01,ES,AZITROMICINA DI-HIDRATADA,22169
26,2021-06-01,ES,IVERMECTINA,10
27,2021-06-01,ES,SULFATO DE HIDROXICLOROQUINA,1854
28,2021-06-01,GO,AZITROMICINA,13723
29,2021-06-01,GO,AZITROMICINA DI-HIDRATADA,56102
30,2021-06-01,GO,IVERMECTINA,42
31,2021-06-01,GO,SULFATO DE HIDROXICLOROQUINA,4849
32,2021-06-01,MA,AZITROMICINA,2213
33,2021-06-01,MA,AZITROMICINA DI-HIDRATADA,15584
34,2021-06-01,MA,IVERMECTINA,35
35,2021-06-01,MA,SULFATO DE HIDROXICLOROQUINA,815
36,2021-06-01,MG,AZITROMICINA,26104
37,2021-06-01,MG,AZITROMICINA DI-HIDRATADA,181017
38,2021-06-01,MG,IVERMECTINA,137
39,2021-06-01,MG,SULFATO DE HIDROXICLOROQUINA,13426
40,2021-06-01,MS,AZITROMICINA,6504
41,2021-06-01,MS,AZITROMICINA DI-HIDRATADA,16677
42,2021-06-01,MS,SULFATO DE HIDROXICLOROQUINA,2682
43,2021-06-01,MT,AZITROMICINA,3311
44,2021-06-01,MT,AZITROMICINA DI-HIDRATADA,18531
45,2021-06-01,MT,SULFATO DE HIDROXICLOROQUINA,886
46,2021-06-01,PA,AZITROMICINA,1821
47,2021-06-01,PA,AZITROMICINA DI-HIDRATADA,16109
48,2021-06-01,PA,IVERMECTINA,5
49,2021-06-01,PA,SULFATO DE HIDROXICLOROQUINA,1221
50,2021-06-01,PB,AZITROMICINA,4735
51,2021-06-01,PB,AZITROMICINA DI-HIDRATADA,28982
52,2021-06-01,PB,SULFATO DE HIDROXICLOROQUINA,1449
53,2021-06-01,PE,AZITROMICINA,4596
54,2021-06-01,PE,AZITROMICINA DI-HIDRATADA,21416
55,2021-06-01,PE,IVERMECTINA,65
56,2021-06-01,PE,SULFATO DE HIDROXICLOROQUINA,2610
57,2021-06-01,PI,AZITROMICINA,993
58,2021-06-01,PI,AZITROMICINA DI-HIDRATADA,7626
59,2021-06-01,PI,IVERMECTINA,34
