,DATA,UF_VENDA,PRINCIPIO_ATIVO,QTD_VENDIDA
0,2020-05-01,AC,AZITROMICINA,880
1,2020-05-01,AC,AZITROMICINA DI-HIDRATADA,9940
2,2020-05-01,AC,SULFATO DE HIDROXICLOROQUINA,438
3,2020-05-01,AL,AZITROMICINA,5187
4,2020-05-01,AL,AZITROMICINA DI-HIDRATADA,30128
5,2020-05-01,AL,SULFATO DE HIDROXICLOROQUINA,1042
6,2020-05-01,AM,AZITROMICINA,2940
7,2020-05-01,AM,AZITROMICINA DI-HIDRATADA,43419
8,2020-05-01,AM,SULFATO DE HIDROXICLOROQUINA,1045
9,2020-05-01,AP,AZITROMICINA,3515
10,2020-05-01,AP,AZITROMICINA DI-HIDRATADA,17057
11,2020-05-01,AP,SULFATO DE HIDROXICLOROQUINA,263
12,2020-05-01,BA,AZITROMICINA,7815
13,2020-05-01,BA,AZITROMICINA DI-HIDRATADA,32965
14,2020-05-01,BA,IVERMECTINA,15
15,2020-05-01,BA,SULFATO DE HIDROXICLOROQUINA,3666
16,2020-05-01,CE,AZITROMICINA,13299
17,2020-05-01,CE,AZITROMICINA DI-HIDRATADA,66137
18,2020-05-01,CE,IVERMECTINA,120
19,2020-05-01,CE,SULFATO DE HIDROXICLOROQUINA,6351
20,2020-05-01,DF,AZITROMICINA,2346
21,2020-05-01,DF,AZITROMICINA DI-HIDRATADA,12571
22,2020-05-01,DF,SULFATO DE HIDROXICLOROQUINA,1335
23,2020-05-01,ES,AZITROMICINA,3095
24,2020-05-01,ES,AZITROMICINA DI-HIDRATADA,24658
25,2020-05-01,ES,SULFATO DE HIDROXICLOROQUINA,1533
26,2020-05-01,GO,AZITROMICINA,8047
27,2020-05-01,GO,AZITROMICINA DI-HIDRATADA,32199
28,2020-05-01,GO,IVERMECTINA,5
29,2020-05-01,GO,SULFATO DE HIDROXICLOROQUINA,1220
30,2020-05-01,MA,AZITROMICINA,5128
31,2020-05-01,MA,AZITROMICINA DI-HIDRATADA,50611
32,2020-05-01,MA,SULFATO DE HIDROXICLOROQUINA,1037
33,2020-05-01,MG,AZITROMICINA,13241
34,2020-05-01,MG,AZITROMICINA DI-HIDRATADA,83168
35,2020-05-01,MG,IVERMECTINA,1
36,2020-05-01,MG,SULFATO DE HIDROXICLOROQUINA,8653
37,2020-05-01,MS,AZITROMICINA,1233
38,2020-05-01,MS,AZITROMICINA DI-HIDRATADA,6714
39,2020-05-01,MS,SULFATO DE HIDROXICLOROQUINA,830
40,2020-05-01,MT,AZITROMICINA,3306
41,2020-05-01,MT,AZITROMICINA DI-HIDRATADA,10500
42,2020-05-01,MT,SULFATO DE HIDROXICLOROQUINA,467
43,2020-05-01,PA,AZITROMICINA,10549
44,2020-05-01,PA,AZITROMICINA DI-HIDRATADA,116350
45,2020-05-01,PA,SULFATO DE HIDROXICLOROQUINA,3928
46,2020-05-01,PB,AZITROMICINA,8565
47,2020-05-01,PB,AZITROMICINA DI-HIDRATADA,52798
48,2020-05-01,PB,SULFATO DE HIDROXICLOROQUINA,2024
49,2020-05-01,PE,AZITROMICINA,11771
50,2020-05-01,PE,AZITROMICINA DI-HIDRATADA,60330
51,2020-05-01,PE,IVERMECTINA,4
52,2020-05-01,PE,SULFATO DE HIDROXICLOROQUINA,3804
53,2020-05-01,PI,AZITROMICINA,969
54,2020-05-01,PI,AZITROMICINA DI-HIDRATADA,13444
55,2020-05-01,PI,SULFATO DE HIDROXICLOROQUINA,1165
56,2020-05-01,PR,AZITROMICINA,8155
57,2020-05-01,PR,AZITROMICINA DI-HIDRATADA,29245
58,2020-05-01,PR,SULFATO DE HIDROXICLOROQUINA,4214
59,2020-05-01,RJ,AZITROMICINA,18567
60,2020-05-01,RJ,AZITROMICINA DI-HIDRATADA,130713
61,2020-05-01,RJ,IVERMECTINA,5
62,2020-05-01,RJ,SULFATO DE HIDROXICLOROQUINA,12313
63,2020-05-01,RN,AZITROMICINA,5296
64,2020-05-01,RN,AZITROMICINA DI-HIDRATADA,29657
65,2020-05-01,RN,SULFATO DE HIDROXICLOROQUINA,1303
66,2020-05-01,RO,AZITROMICINA,4978
67,2020-05-01,RO,AZITROMICINA DI-HIDRATADA,11199
68,2020-05-01,RO,SULFATO DE HIDROXICLOROQUINA,250
69,2020-05-01,RR,AZITROMICINA,4250
70,2020-05-01,RR,AZITROMICINA DI-HIDRATADA,11780
71,2020-05-01,RR,SULFATO DE HIDROXICLOROQUINA,54
72,2020-05-01,RS,AZITROMICINA,10631
73,2020-05-01,RS,AZITROMICINA DI-HIDRATADA,45576
74,2020-05-01,RS,SULFATO DE HIDROXICLOROQUINA,5572
75,2020-05-01,SC,AZITROMICINA,4878
76,2020-05-01,SC,AZITROMICINA DI-HIDRATADA,20981
77,2020-05-01,SC,SULFATO DE HIDROXICLOROQUINA,3020
78,2020-05-01,SE,AZITROMICINA,1753
79,2020-05-01,SE,AZITROMICINA DI-HIDRATADA,9001
80,2020-05-01,SE,SULFATO DE HIDROXICLOROQUINA,1301
81,2020-05-01,SP,AZITROMICINA,42634
82,2020-05-01,SP,AZITROMICINA DI-HIDRATADA,254277
83,2020-05-01,SP,IVERMECTINA,3
84,2020-05-01,SP,SULFATO DE HIDROXICLOROQUINA,19529
85,2020-05-01,TO,AZITROMICINA,2044
86,2020-05-01,TO,AZITROMICINA DI-HIDRATADA,11569
87,2020-05-01,TO,SULFATO DE HIDROXICLOROQUINA,167
