,DATA,UF_VENDA,PRINCIPIO_ATIVO,QTD_VENDIDA
0,2021-11-01,AC,AZITROMICINA,118
1,2021-11-01,AC,AZITROMICINA DI-HIDRATADA,1075
2,2021-11-01,AC,SULFATO DE HIDROXICLOROQUINA,76
3,2021-11-01,AL,AZITROMICINA,295
4,2021-11-01,AL,AZITROMICINA DI-HIDRATADA,1914
5,2021-11-01,AL,SULFATO DE HIDROXICLOROQUINA,149
6,2021-11-01,AM,AZITROMICINA,430
7,2021-11-01,AM,AZITROMICINA DI-HIDRATADA,2673
8,2021-11-01,AM,SULFATO DE HIDROXICLOROQUINA,96
9,2021-11-01,AP,AZITROMICINA,180
10,2021-11-01,AP,AZITROMICINA DI-HIDRATADA,1008
11,2021-11-01,AP,SULFATO DE HIDROXICLOROQUINA,38
12,2021-11-01,BA,AZITROMICINA,1867
13,2021-11-01,BA,AZITROMICINA DI-HIDRATADA,10367
14,2021-11-01,BA,IVERMECTINA,13
15,2021-11-01,BA,SULFATO DE HIDROXICLOROQUINA,466
16,2021-11-01,CE,AZITROMICINA,1023
17,2021-11-01,CE,AZITROMICINA DI-HIDRATADA,4663
18,2021-11-01,CE,IVERMECTINA,19
19,2021-11-01,CE,SULFATO DE HIDROXICLOROQUINA,268
20,2021-11-01,DF,AZITROMICINA,617
21,2021-11-01,DF,AZITROMICINA DI-HIDRATADA,3215
22,2021-11-01,DF,SULFATO DE HIDROXICLOROQUINA,336
23,2021-11-01,ES,AZITROMICINA,824
24,2021-11-01,ES,AZITROMICINA DI-HIDRATADA,6543
25,2021-11-01,ES,SULFATO DE HIDROXICLOROQUINA,330
26,2021-11-01,GO,AZITROMICINA,3522
27,2021-11-01,GO,AZITROMICINA DI-HIDRATADA,14278
28,2021-11-01,GO,IVERMECTINA,10
29,2021-11-01,GO,SULFATO DE HIDROXICLOROQUINA,545
30,2021-11-01,MA,AZITROMICINA,561
31,2021-11-01,MA,AZITROMICINA DI-HIDRATADA,3665
32,2021-11-01,MA,IVERMECTINA,11
33,2021-11-01,MA,SULFATO DE HIDROXICLOROQUINA,126
34,2021-11-01,MG,AZITROMICINA,5466
35,2021-11-01,MG,AZITROMICINA DI-HIDRATADA,40589
36,2021-11-01,MG,IVERMECTINA,6
37,2021-11-01,MG,SULFATO DE HIDROXICLOROQUINA,1371
38,2021-11-01,MS,AZITROMICINA,1019
39,2021-11-01,MS,AZITROMICINA DI-HIDRATADA,3402
40,2021-11-01,MS,SULFATO DE HIDROXICLOROQUINA,229
41,2021-11-01,MT,AZITROMICINA,995
42,2021-11-01,MT,AZITROMICINA DI-HIDRATADA,5110
43,2021-11-01,MT,SULFATO DE HIDROXICLOROQUINA,100
44,2021-11-01,PA,AZITROMICINA,567
45,2021-11-01,PA,AZITROMICINA DI-HIDRATADA,5348
46,2021-11-01,PA,IVERMECTINA,10
47,2021-11-01,PA,SULFATO DE HIDROXICLOROQUINA,319
48,2021-11-01,PB,AZITROMICINA,1299
49,2021-11-01,PB,AZITROMICINA DI-HIDRATADA,5478
50,2021-11-01,PB,SULFATO DE HIDROXICLOROQUINA,286
51,2021-11-01,PE,AZITROMICINA,1219
52,2021-11-01,PE,AZITROMICINA DI-HIDRATADA,5563
53,2021-11-01,PE,SULFATO DE HIDROXICLOROQUINA,469
54,2021-11-01,PI,AZITROMICINA,172
55,2021-11-01,PI,AZITROMICINA DI-HIDRATADA,1321
56,2021-11-01,PI,IVERMECTINA,1
57,2021-11-01,PI,SULFATO DE HIDROXICLOROQUINA,145
58,2021-11-01,PR,AZITROMICINA,2958
59,2021-11-01,PR,AZITROMICINA DI-HIDRATADA,17438
60,2021-11-01,PR,IVERMECTINA,2
61,2021-11-01,PR,SULFATO DE HIDROXICLOROQUINA,936
62,2021-11-01,RJ,AZITROMICINA,4775
63,2021-11-01,RJ,AZITROMICINA DI-HIDRATADA,25061
64,2021-11-01,RJ,SULFATO DE HIDROXICLOROQUINA,1710
65,2021-11-01,RN,AZITROMICINA,1452
66,2021-11-01,RN,AZITROMICINA DI-HIDRATADA,7252
67,2021-11-01,RN,SULFATO DE HIDROXICLOROQUINA,237
68,2021-11-01,RO,AZITROMICINA,686
69,2021-11-01,RO,AZITROMICINA DI-HIDRATADA,2256
70,2021-11-01,RO,SULFATO DE HIDROXICLOROQUINA,58
71,2021-11-01,RR,AZITROMICINA,335
72,2021-11-01,RR,AZITROMICINA DI-HIDRATADA,777
73,2021-11-01,RR,SULFATO DE HIDROXICLOROQUINA,45
74,2021-11-01,RS,AZITROMICINA,4354
75,2021-11-01,RS,AZITROMICINA DI-HIDRATADA,25473
76,2021-11-01,RS,IVERMECTINA,4
77,2021-11-01,RS,SULFATO DE HIDROXICLOROQUINA,1884
78,2021-11-01,SC,AZITROMICINA,2089
79,2021-11-01,SC,AZITROMICINA DI-HIDRATADA,11048
80,2021-11-01,SC,IVERMECTINA,22
81,2021-11-01,SC,SULFATO DE HIDROXICLOROQUINA,590
82,2021-11-01,SE,AZITROMICINA,439
83,2021-11-01,SE,AZITROMICINA DI-HIDRATADA,2648
84,2021-11-01,SE,SULFATO DE HIDROXICLOROQUINA,159
85,2021-11-01,SP,AZITROMICINA,13741
86,2021-11-01,SP,AZITROMICINA DI-HIDRATADA,79606
87,2021-11-01,SP,IVERMECTINA,3
88,2021-11-01,SP,SULFATO DE HIDROXICLOROQUINA,3417
89,2021-11-01,TO,AZITROMICINA,376
90,2021-11-01,TO,AZITROMICINA DI-HIDRATADA,2326
91,2021-11-01,TO,SULFATO DE HIDROXICLOROQUINA,104
